Date,Open,High,Low,Close,Adj Close,Volume,Soma,Signal
2017-03-10,139.25,139.360001,138.639999,139.139999,133.892441,19612800,558377854200,-
2017-03-13,138.850006,139.429993,138.820007,139.199997,133.950165,17421700,558395275900,+
2017-03-14,139.300003,139.649994,138.839996,138.990005,133.748077,15309100,558410585000,-
2017-03-15,139.410004,140.75,139.029999,140.460007,135.162674,25691800,558436276800,+
2017-03-16,140.720001,141.020004,140.259995,140.690002,135.383972,19232000,558455508800,-
2017-03-17,141.0,141.0,139.889999,139.990005,134.710419,43885000,558499393800,-
2017-03-20,140.399994,141.5,140.229996,141.460007,136.124954,21542000,558520935800,+
2017-03-21,142.110001,142.800003,139.729996,139.839996,134.56601,39529900,558560465700,-
2017-03-22,139.850006,141.600006,139.759995,141.419998,136.086441,25860200,558586325900,+
2017-03-23,141.259995,141.580002,140.610001,140.919998,135.605301,20346300,558606672200,-
2017-03-24,141.5,141.740005,140.350006,140.639999,135.335861,22395600,558629067800,-
2017-03-27,139.389999,141.220001,138.619995,140.880005,135.566818,23575100,558652642900,+
2017-03-28,140.910004,144.039993,140.619995,143.800003,138.376663,33374800,558686017700,+
2017-03-29,143.679993,144.490005,143.190002,144.119995,138.684631,29190000,558715207700,+
2017-03-30,144.190002,144.5,143.5,143.929993,138.50177,21207300,558736415000,-
2017-03-31,143.720001,144.270004,143.009995,143.660004,138.241959,19661700,558756076700,-
2017-04-03,143.710007,144.119995,143.050003,143.699997,138.280457,19985700,558776062400,-
2017-04-04,143.25,144.889999,143.169998,144.770004,139.310104,19891400,558795953800,+
2017-04-05,144.220001,145.460007,143.809998,144.020004,138.588394,27717900,558823671700,-
2017-04-06,144.289993,144.520004,143.449997,143.660004,138.241959,21149000,558844820700,-
2017-04-07,143.729996,144.179993,143.270004,143.339996,137.934021,16672200,558861492900,-
2017-04-10,143.600006,143.880005,142.899994,143.169998,137.770447,18933400,558880426300,-
2017-04-11,142.940002,143.350006,140.059998,141.630005,136.288544,30379400,558910805700,-
2017-04-12,141.600006,142.149994,141.009995,141.800003,136.452087,20350000,558931155700,+
2017-04-13,141.910004,142.380005,141.050003,141.050003,135.730423,17822900,558948978600,-
2017-04-17,141.479996,141.880005,140.869995,141.830002,136.480972,16582100,558965560700,+
2017-04-18,141.410004,142.039993,141.110001,141.199997,135.874741,14697500,558980258200,-
2017-04-19,141.880005,142.0,140.449997,140.679993,135.374344,17328400,558997586600,-
2017-04-20,141.220001,142.919998,141.160004,142.440002,137.067993,23319600,559020906200,+
2017-04-21,142.440002,142.679993,141.850006,142.270004,136.904373,17320900,559038227100,-
2017-04-24,143.5,143.949997,143.179993,143.639999,138.222687,17134300,559055361400,+
2017-04-25,143.910004,144.899994,143.869995,144.529999,139.079147,18871500,559074232900,+
2017-04-26,144.470001,144.600006,143.380005,143.679993,138.261185,20041200,559094274100,-
2017-04-27,143.919998,144.160004,143.309998,143.789993,138.367081,14246300,559108520400,-
2017-04-28,144.089996,144.300003,143.270004,143.649994,138.23233,20860400,559129380800,-
2017-05-01,145.100006,147.199997,144.960007,146.580002,141.051834,33602900,559162983700,+
2017-05-02,147.539993,148.089996,146.839996,147.509995,141.946762,45352200,559208335900,-
2017-05-03,145.589996,147.490005,144.270004,147.059998,141.513748,45697000,559254032900,+
2017-05-04,146.520004,147.139999,145.809998,146.529999,141.003723,23371900,559277404800,+
2017-05-05,146.759995,148.979996,146.759995,148.960007,143.342072,27327700,559304732500,+
2017-05-08,149.029999,153.699997,149.029999,153.009995,147.239334,48752400,559353484900,+
2017-05-09,153.869995,154.880005,153.449997,153.990005,148.182373,39130400,559392615300,+
2017-05-10,153.630005,153.940002,152.110001,153.259995,147.479904,25805700,559418421000,-
2017-05-11,152.449997,154.070007,152.309998,153.949997,148.755341,27255100,559445676100,+
2017-05-12,154.699997,156.419998,154.669998,156.100006,150.83284,32527000,559478203100,+
2017-05-15,156.009995,156.649994,155.050003,155.699997,150.44632,26009700,559504212800,-
2017-05-16,155.940002,156.059998,154.720001,155.470001,150.224075,20048500,559524261300,-
2017-05-17,153.600006,154.570007,149.710007,150.25,145.180206,50767700,559575029000,-
2017-05-18,151.270004,153.339996,151.130005,152.539993,147.392944,33568200,559608597200,+
2017-05-19,153.380005,153.979996,152.630005,153.059998,147.895401,26960800,559635558000,-
2017-05-22,154.0,154.580002,152.910004,153.990005,148.794006,22966400,559658524400,-
2017-05-23,154.899994,154.899994,153.309998,153.800003,148.610413,19918900,559678443300,-
2017-05-24,153.839996,154.169998,152.669998,153.339996,148.165939,19178000,559697621300,-
2017-05-25,153.729996,154.350006,153.029999,153.869995,148.678024,19235600,559716856900,+
2017-05-26,154.0,154.240005,153.309998,153.610001,148.426834,21927600,559738784500,-
2017-05-30,153.419998,154.429993,153.330002,153.669998,148.484787,20126900,559758911400,+
2017-05-31,153.970001,154.169998,152.380005,152.759995,147.605515,24451200,559783362600,-
2017-06-01,153.169998,153.330002,152.220001,153.179993,148.011337,16404100,559799766700,+
2017-06-02,153.580002,155.449997,152.889999,155.449997,150.204742,27770700,559827537400,+
2017-06-05,154.339996,154.449997,153.460007,153.929993,148.736038,25331700,559852869100,-
2017-06-06,153.899994,155.809998,153.779999,154.449997,149.238495,26624900,559879494000,+
2017-06-07,155.020004,155.979996,154.479996,155.369995,150.127441,21069600,559900563600,+
2017-06-08,155.25,155.539993,154.399994,154.990005,149.760284,21250800,559921814400,-
2017-06-09,155.190002,155.190002,146.020004,148.979996,143.953049,64882700,559986697100,-
2017-06-12,145.740005,146.089996,142.509995,145.419998,140.513168,72307300,560059004400,-
2017-06-13,147.160004,147.449997,145.149994,146.589996,141.643692,34165400,560093169800,-
2017-06-14,147.5,147.5,143.839996,145.160004,140.261932,31531200,560124701000,-
2017-06-15,143.320007,144.479996,142.210007,144.289993,139.421295,32165400,560156866400,+
2017-06-16,143.779999,144.5,142.199997,142.270004,137.469467,50361100,560207227500,-
2017-06-19,143.660004,146.740005,143.660004,146.339996,141.402145,32541400,560239768900,+
2017-06-20,146.869995,146.869995,144.940002,145.009995,140.117035,24900100,560264669000,-
2017-06-21,145.520004,146.070007,144.610001,145.869995,140.947998,21265800,560285934800,+
2017-06-22,145.770004,146.699997,145.119995,145.630005,140.71611,19106300,560305041100,-
2017-06-23,145.130005,147.160004,145.110001,146.279999,141.344177,35439400,560340480500,+
2017-06-26,147.169998,148.279999,145.380005,145.820007,140.899689,25692400,560366172900,-
2017-06-27,145.009995,146.160004,143.619995,143.729996,138.880173,24761900,560390934800,-
2017-06-28,144.490005,146.110001,143.160004,145.830002,140.909348,22082400,560413017200,+
2017-06-29,144.710007,145.130005,142.279999,143.679993,138.831879,31499400,560444516600,-
2017-06-30,144.449997,144.960007,143.779999,144.020004,139.160446,23024100,560467540700,-
2017-07-03,144.880005,145.300003,143.100006,143.5,138.657959,14277800,560481818500,-
